id,汉字,出现次数,频率（%）,累积频率（%）
1845,劣,657,0.0042,96.6544
1846,秩,655,0.0042,96.6586
1847,塘,654,0.0042,96.6628
1848,孟,653,0.0042,96.6712
1849,媳,653,0.0042,96.667
1850,廷,652,0.0042,96.6754
1851,铃,650,0.0042,96.6796
1852,胎,650,0.0042,96.6838
1853,抹,648,0.0042,96.688
1854,吵,648,0.0042,96.6922
1855,肢,647,0.0042,96.6964
1856,拾,647,0.0042,96.7006
1857,聪,646,0.0042,96.7048
1858,寨,646,0.0042,96.709
1859,翠,645,0.0041,96.7131
1860,赫,642,0.0041,96.7172
1861,尿,641,0.0041,96.7213
1862,疼,640,0.0041,96.7254
1863,览,639,0.0041,96.7295
1864,狼,638,0.0041,96.7336
1865,轴,635,0.0041,96.7377
1866,锦,635,0.0041,96.7418
1867,夸,634,0.0041,96.7459
1868,剑,633,0.0041,96.75
1869,牺,633,0.0041,96.7541
1870,翼,633,0.0041,96.7582
1871,卧,632,0.0041,96.7623
1872,曼,629,0.004,96.7703
1873,姆,629,0.004,96.7663
1874,匠,628,0.004,96.7743
1875,熊,627,0.004,96.7823
1876,搜,627,0.004,96.7783
1877,盈,624,0.004,96.7863
1878,覆,623,0.004,96.7903
1879,唇,621,0.004,96.7943
1880,驾,620,0.004,96.7983
1881,腺,618,0.004,96.8023
1882,辅,617,0.004,96.8063
1883,枯,616,0.004,96.8103
1884,鞭,615,0.004,96.8143
1885,翅,614,0.0039,96.8182
1886,喘,614,0.0039,96.8221
1887,肝,611,0.0039,96.826
1888,掘,610,0.0039,96.8299
1889,歪,609,0.0039,96.8338
1890,欺,608,0.0039,96.8377
1891,疆,608,0.0039,96.8416
1892,赋,608,0.0039,96.8455
1893,婶,607,0.0039,96.8494
1894,畅,606,0.0039,96.8533
1895,葡,605,0.0039,96.8572
1896,脾,605,0.0039,96.8611
1897,哼,604,0.0039,96.865
1898,柜,603,0.0039,96.8689
1899,兔,602,0.0039,96.8728
1900,顽,601,0.0039,96.8767
1901,藻,600,0.0039,96.8806
1902,鸭,600,0.0039,96.8845
1903,页,599,0.0039,96.904
1904,谐,599,0.0039,96.9001
1905,侦,599,0.0039,96.8962
1906,仇,599,0.0039,96.8884
1907,睁,599,0.0039,96.8923
1908,茫,598,0.0038,96.9268
1909,拼,598,0.0038,96.9078
1910,炭,598,0.0038,96.9116
1911,锡,598,0.0038,96.9154
1912,弦,598,0.0038,96.9192
1913,滋,598,0.0038,96.923
1914,锻,596,0.0038,96.9344
1915,脆,596,0.0038,96.9306
1916,裤,594,0.0038,96.942
1917,卢,594,0.0038,96.9382
1918,萌,592,0.0038,96.9458
1919,骤,591,0.0038,96.9496
1920,悦,590,0.0038,96.9534
1921,氮,589,0.0038,96.9572
1922,葬,589,0.0038,96.961
1923,棒,588,0.0038,96.9648
1924,渠,588,0.0038,96.9686
1925,诞,588,0.0038,96.9724
1926,斑,587,0.0038,96.9762
1927,浩,586,0.0038,96.98
1928,盒,585,0.0038,96.9838
1929,遥,585,0.0038,96.9876
1930,颤,584,0.0038,96.9914
1931,扮,583,0.0037,96.9951
1932,扯,581,0.0037,97.0062
1933,颈,581,0.0037,97.0025
1934,玲,581,0.0037,96.9988
1935,丑,576,0.0037,97.0099
1936,摊,576,0.0037,97.0136
1937,桑,575,0.0037,97.0173
1938,盗,575,0.0037,97.021
1939,柏,574,0.0037,97.0321
1940,唉,574,0.0037,97.0247
1941,戒,574,0.0037,97.0284
1942,凌,573,0.0037,97.0395
1943,羽,573,0.0037,97.0358
1944,胁,572,0.0037,97.0432
1945,捷,570,0.0037,97.0469
1946,皱,570,0.0037,97.0506
1947,堡,568,0.0037,97.0543
1948,嚷,567,0.0036,97.0579
1949,挣,567,0.0036,97.0615
1950,淋,566,0.0036,97.0651
1951,陵,566,0.0036,97.0687
1952,彭,564,0.0036,97.0723
1953,茂,564,0.0036,97.0759
1954,吊,562,0.0036,97.0795
1955,愁,561,0.0036,97.0831
1956,巡,560,0.0036,97.0867
1957,寸,558,0.0036,97.0939
1958,纱,558,0.0036,97.0975
1959,惑,558,0.0036,97.0903
1960,董,557,0.0036,97.1011
1961,勾,556,0.0036,97.1047
1962,昂,555,0.0036,97.1083
1963,阐,555,0.0036,97.1119
1964,纬,554,0.0036,97.1155
1965,逢,554,0.0036,97.1191
1966,披,552,0.0036,97.1263
1967,恼,552,0.0036,97.1227
1968,佩,551,0.0035,97.1298
1969,妥,548,0.0035,97.1333
1970,萄,548,0.0035,97.1368
1971,迈,547,0.0035,97.1508
1972,坛,547,0.0035,97.1403
1973,署,547,0.0035,97.1473
1974,姨,547,0.0035,97.1543
1975,肾,547,0.0035,97.1438
1976,仲,545,0.0035,97.1578
1977,邀,544,0.0035,97.1613
1978,莱,544,0.0035,97.1648
1979,辽,544,0.0035,97.1683
1980,阀,543,0.0035,97.1718
1981,猜,541,0.0035,97.1753
1982,弥,541,0.0035,97.1788
1983,瞪,540,0.0035,97.1823
1984,韩,539,0.0035,97.1858
1985,臭,539,0.0035,97.1893
1986,脖,539,0.0035,97.1928
1987,掏,535,0.0034,97.1962
1988,妨,535,0.0034,97.1996
1989,燥,534,0.0034,97.203
1990,酷,534,0.0034,97.2064
1991,蚁,533,0.0034,97.2098
1992,鸿,532,0.0034,97.2132
1993,棚,531,0.0034,97.2166
1994,芦,531,0.0034,97.22
1995,漏,531,0.0034,97.2234
1996,凯,531,0.0034,97.2268
1997,浸,530,0.0034,97.2302
1998,舰,530,0.0034,97.2336
1999,狱,529,0.0034,97.237
2000,踪,528,0.0034,97.2404
2001,氛,528,0.0034,97.2438
2002,摘,528,0.0034,97.2472
2003,御,526,0.0034,97.2506
2004,蔡,525,0.0034,97.254
2005,扔,524,0.0034,97.2574
2006,硝,524,0.0034,97.2608
2007,裕,523,0.0034,97.2642
2008,氨,522,0.0034,97.2676
2009,竭,522,0.0034,97.271
2010,蚕,521,0.0034,97.2744
2011,疯,521,0.0034,97.2778
2012,坑,521,0.0034,97.2812
2013,愉,521,0.0034,97.2846
2014,矮,520,0.0033,97.2879
2015,嘉,520,0.0033,97.2912
2016,掠,519,0.0033,97.3011
2017,泄,519,0.0033,97.2945
2018,叉,519,0.0033,97.2978
2019,渴,517,0.0033,97.3044
2020,冶,517,0.0033,97.3077
2021,囊,515,0.0033,97.311
2022,辣,514,0.0033,97.3143
2023,菊,511,0.0033,97.3176
2024,凑,511,0.0033,97.3209
2025,歇,510,0.0033,97.3242
2026,嘻,510,0.0033,97.3275
2027,雇,509,0.0033,97.3308
2028,婴,508,0.0033,97.3374
2029,泌,508,0.0033,97.3407
2030,痕,508,0.0033,97.3341
2031,亭,506,0.0033,97.3506
2032,跌,506,0.0033,97.3473
2033,夕,506,0.0033,97.344
2034,册,505,0.0032,97.3538
2035,螺,505,0.0032,97.357
2036,贮,505,0.0032,97.3602
2037,淀,504,0.0032,97.3666
2038,贪,504,0.0032,97.3698
2039,庞,504,0.0032,97.3634
2040,铝,503,0.0032,97.373
2041,砖,503,0.0032,97.3762
2042,僚,502,0.0032,97.3794
2043,涛,502,0.0032,97.3826
2044,耶,502,0.0032,97.3858
2045,艳,502,0.0032,97.389
2046,玛,501,0.0032,97.3922
2047,拆,500,0.0032,97.3954
2048,绵,500,0.0032,97.3986
2049,遮,499,0.0032,97.4114
2050,慎,499,0.0032,97.4018
2051,贾,499,0.0032,97.405
2052,贤,499,0.0032,97.4082
2053,糟,498,0.0032,97.4178
2054,鹿,498,0.0032,97.421
2055,霸,498,0.0032,97.4146
2056,匹,497,0.0032,97.4242
2057,挡,496,0.0032,97.4338
2058,舱,496,0.0032,97.4274
2059,咳,496,0.0032,97.4306
2060,雀,495,0.0032,97.437
2061,赴,494,0.0032,97.4402
2062,蚀,493,0.0032,97.4434
2063,咽,492,0.0032,97.453
2064,饥,492,0.0032,97.4498
2065,鹰,492,0.0032,97.4466
2066,询,490,0.0032,97.4626
2067,嘿,490,0.0032,97.4562
2068,函,490,0.0032,97.4594
2069,堪,489,0.0031,97.4657
2070,嗓,488,0.0031,97.4719
2071,嫩,488,0.0031,97.475
2072,晴,488,0.0031,97.4688
2073,蹲,487,0.0031,97.4843
2074,辖,487,0.0031,97.4874
2075,豫,487,0.0031,97.4812
2076,酬,487,0.0031,97.4781
2077,剖,484,0.0031,97.4905
2078,钾,484,0.0031,97.4936
2079,尸,483,0.0031,97.4998
2080,胚,483,0.0031,97.4967
2081,悔,482,0.0031,97.5091
2082,雌,482,0.0031,97.506
2083,哦,482,0.0031,97.5029
2084,惩,481,0.0031,97.5122
2085,漆,481,0.0031,97.5153
2086,篮,480,0.0031,97.5184
2087,链,480,0.0031,97.5215
2088,筋,479,0.0031,97.5246
2089,摔,477,0.0031,97.5277
2090,遂,477,0.0031,97.5308
2091,叠,476,0.0031,97.5339
2092,霍,475,0.0031,97.537
2093,垄,475,0.0031,97.5401
2094,匪,475,0.0031,97.5432
2095,侯,475,0.0031,97.5463
2096,巾,473,0.003,97.5523
2097,贞,473,0.003,97.5493
2098,丘,472,0.003,97.5553
2099,滞,471,0.003,97.5583
2100,洒,471,0.003,97.5613
2101,纽,471,0.003,97.5643
2102,蓬,471,0.003,97.5673
2103,浙,470,0.003,97.5703
2104,潘,470,0.003,97.5733
2105,娜,469,0.003,97.5763
2106,矩,467,0.003,97.5793
2107,闯,466,0.003,97.5853
2108,盼,466,0.003,97.5823
2109,叛,465,0.003,97.5883
2110,履,464,0.003,97.5913
2111,霞,464,0.003,97.5943
2112,菲,463,0.003,97.6063
2113,瞬,463,0.003,97.6033
2114,奸,463,0.003,97.6003
2115,砍,463,0.003,97.5973
2116,敦,462,0.003,97.6093
2117,浆,462,0.003,97.6123
2118,儒,460,0.003,97.6153
2119,拓,460,0.003,97.6183
2120,僧,460,0.003,97.6213
2121,棋,460,0.003,97.6243
2122,芬,459,0.003,97.6273
2123,俺,459,0.003,97.6303
2124,慈,459,0.003,97.6333
2125,萧,458,0.0029,97.6391
2126,蛮,458,0.0029,97.6362
2127,郊,457,0.0029,97.642
2128,勉,455,0.0029,97.6507
2129,钉,455,0.0029,97.6449
2130,缠,455,0.0029,97.6478
2131,盯,453,0.0029,97.6536
2132,吾,453,0.0029,97.6565
2133,咕,453,0.0029,97.6594
2134,膨,452,0.0029,97.6623
2135,堵,451,0.0029,97.6652
2136,卜,450,0.0029,97.6681
2137,扁,450,0.0029,97.671
2138,葛,449,0.0029,97.6739
2139,哟,449,0.0029,97.6826
2140,寡,449,0.0029,97.6855
2141,鄂,449,0.0029,97.6768
2142,驰,449,0.0029,97.6797
2143,桶,448,0.0029,97.6884
2144,晒,448,0.0029,97.6913
2145,慕,447,0.0029,97.6942
2146,栏,446,0.0029,97.6971
2147,霜,446,0.0029,97.7
2148,谊,446,0.0029,97.7029
2149,哇,444,0.0029,97.7058
2150,畴,443,0.0028,97.7114
2151,隙,443,0.0028,97.7086
2152,孝,442,0.0028,97.7142
2153,押,442,0.0028,97.717
2154,竖,441,0.0028,97.7198
2155,喉,440,0.0028,97.7226
2156,欠,440,0.0028,97.7254
2157,衫,440,0.0028,97.7282
2158,吕,440,0.0028,97.731
2159,旬,440,0.0028,97.7338
2160,韵,440,0.0028,97.7366
2161,霉,439,0.0028,97.7394
2162,邪,438,0.0028,97.7478
2163,孕,438,0.0028,97.7534
2164,穆,438,0.0028,97.7506
2165,硅,438,0.0028,97.745
2166,峡,438,0.0028,97.7422
2167,湘,436,0.0028,97.7618
2168,澳,436,0.0028,97.7562
2169,羞,436,0.0028,97.759
2170,惧,435,0.0028,97.7646
2171,慨,435,0.0028,97.7674
2172,穴,433,0.0028,97.7702
2173,捞,433,0.0028,97.773
2174,辱,433,0.0028,97.7758
2175,棍,432,0.0028,97.7786
2176,撑,432,0.0028,97.7814
2177,炕,432,0.0028,97.7842
2178,窄,431,0.0028,97.787
2179,崖,431,0.0028,97.7954
2180,俱,431,0.0028,97.7982
2181,宅,431,0.0028,97.7926
2182,陕,431,0.0028,97.7898
2183,爽,430,0.0028,97.801
2184,鹅,430,0.0028,97.8038
2185,晰,430,0.0028,97.8066
2186,0,428,0.0028,97.8094
2187,巢,428,0.0028,97.8122
2188,绒,428,0.0028,97.815
2189,疫,428,0.0028,97.8178
2190,茎,427,0.0027,97.8205
2191,苹,427,0.0027,97.8232
2192,捧,426,0.0027,97.8259
2193,忌,426,0.0027,97.8286
2194,搏,426,0.0027,97.8313
2195,奈,424,0.0027,97.834
2196,躯,424,0.0027,97.8367
2197,惹,424,0.0027,97.8394
2198,焰,424,0.0027,97.8421
2199,岂,423,0.0027,97.8448
2200,甫,423,0.0027,97.8475
2201,艾,421,0.0027,97.8502
2202,拦,421,0.0027,97.8529
2203,趁,421,0.0027,97.8556
2204,缚,421,0.0027,97.8583
2205,祸,420,0.0027,97.8664
2206,橡,420,0.0027,97.861
2207,碧,420,0.0027,97.8637
2208,卑,420,0.0027,97.8691
2209,攀,419,0.0027,97.8718
2210,饼,417,0.0027,97.8745
2211,蔬,416,0.0027,97.8772
2212,譬,416,0.0027,97.8799
2213,灶,415,0.0027,97.8826
2214,赔,414,0.0027,97.8907
2215,粪,414,0.0027,97.8934
2216,颠,414,0.0027,97.888
2217,曰,414,0.0027,97.8853
2218,媒,413,0.0027,97.8961
2219,殿,412,0.0026,97.9013
2220,蛙,412,0.0026,97.8987
2221,衬,411,0.0026,97.9091
2222,钩,411,0.0026,97.9039
2223,逝,411,0.0026,97.9065
2224,哑,410,0.0026,97.9143
2225,艇,410,0.0026,97.9169
2226,罩,410,0.0026,97.9117
2227,裸,409,0.0026,97.9195
2228,岳,409,0.0026,97.9221
2229,庸,408,0.0026,97.9351
2230,嫌,408,0.0026,97.9325
2231,窃,408,0.0026,97.9299
2232,涵,408,0.0026,97.9273
2233,砂,408,0.0026,97.9247
2234,梨,407,0.0026,97.9455
2235,泊,407,0.0026,97.9429
2236,遣,407,0.0026,97.9403
2237,熔,407,0.0026,97.9377
2238,廉,406,0.0026,97.9507
2239,傲,406,0.0026,97.9481
2240,傻,405,0.0026,97.9533
2241,畏,404,0.0026,97.9559
2242,缴,403,0.0026,97.9585
2243,钙,403,0.0026,97.9611
2244,铅,402,0.0026,97.9663
2245,乔,402,0.0026,97.9637
2246,懒,401,0.0026,97.9689
2247,萍,401,0.0026,97.9715
2248,莉,400,0.0026,97.9741
2249,挽,399,0.0026,97.9767
2250,凄,399,0.0026,97.9793
2251,刮,396,0.0025,97.9818
2252,卓,396,0.0025,97.9843
2253,档,392,0.0025,97.9918
2254,妄,392,0.0025,97.9893
2255,劫,392,0.0025,97.9868
2256,阁,391,0.0025,97.9968
2257,掀,391,0.0025,97.9993
2258,哗,391,0.0025,98.0018
2259,藤,391,0.0025,97.9943
2260,吟,389,0.0025,98.0093
2261,杏,389,0.0025,98.0043
2262,颂,389,0.0025,98.0068
2263,梢,388,0.0025,98.0118
2264,罕,387,0.0025,98.0193
2265,沸,387,0.0025,98.0168
2266,滨,387,0.0025,98.0143
2267,翔,386,0.0025,98.0243
2268,汁,386,0.0025,98.0268
2269,戈,386,0.0025,98.0218
2270,愚,385,0.0025,98.0343
2271,○,385,0.0025,98.0318
2272,秧,385,0.0025,98.0293
2273,抒,384,0.0025,98.0368
2274,弊,384,0.0025,98.0393
2275,姜,384,0.0025,98.0418
2276,拘,383,0.0025,98.0518
2277,贩,383,0.0025,98.0493
2278,框,383,0.0025,98.0443
2279,屁,383,0.0025,98.0468
2280,喻,382,0.0025,98.0593
2281,嘱,382,0.0025,98.0543
2282,垫,382,0.0025,98.0568
2283,迪,381,0.0025,98.0618
2284,契,380,0.0024,98.0642
2285,弗,379,0.0024,98.069
2286,瑶,379,0.0024,98.0714
2287,赌,379,0.0024,98.0666
2288,堤,379,0.0024,98.0738
2289,哄,378,0.0024,98.0762
2290,旨,377,0.0024,98.0834
2291,晕,377,0.0024,98.081
2292,凳,377,0.0024,98.0786
2293,址,376,0.0024,98.0858
2294,彪,376,0.0024,98.0882
2295,踢,375,0.0024,98.093
2296,俊,375,0.0024,98.0954
2297,韦,375,0.0024,98.0978
2298,贼,375,0.0024,98.0906
2299,稚,374,0.0024,98.1026
2300,蝶,374,0.0024,98.105
2301,账,374,0.0024,98.1002
2302,凹,373,0.0024,98.1074
2303,帕,373,0.0024,98.1098
2304,携,371,0.0024,98.1122
2305,茅,370,0.0024,98.1146
2306,枢,369,0.0024,98.1242
2307,溃,369,0.0024,98.1218
2308,哨,369,0.0024,98.117
2309,枚,369,0.0024,98.1194
2310,驳,368,0.0024,98.129
2311,歧,368,0.0024,98.1266
2312,抄,367,0.0024,98.1314
2313,弓,367,0.0024,98.1338
2314,稼,366,0.0024,98.1362
2315,颁,366,0.0024,98.1386
2316,徽,366,0.0024,98.141
2317,杠,365,0.0023,98.1433
2318,泳,364,0.0023,98.1456
2319,蜡,364,0.0023,98.1479
2320,吻,363,0.0023,98.1502
2321,沾,363,0.0023,98.1525
2322,绣,363,0.0023,98.1548
2323,叮,362,0.0023,98.1594
2324,谨,362,0.0023,98.1617
2325,厨,362,0.0023,98.1571
2326,拐,361,0.0023,98.164
2327,宴,360,0.0023,98.1663
2328,鸦,360,0.0023,98.1686
2329,衷,360,0.0023,98.1709
2330,戚,360,0.0023,98.1732
2331,粹,358,0.0023,98.1755
2332,碑,358,0.0023,98.1778
2333,煮,357,0.0023,98.1801
2334,蕾,356,0.0023,98.1824
2335,淑,356,0.0023,98.1847
2336,逸,355,0.0023,98.187
2337,翁,355,0.0023,98.1893
2338,倘,354,0.0023,98.1916
2339,恳,354,0.0023,98.1939
2340,逊,353,0.0023,98.1962
2341,趟,353,0.0023,98.1985
2342,讼,351,0.0023,98.2008
2343,衍,351,0.0023,98.2031
2344,蔽,351,0.0023,98.2054
2345,胳,350,0.0023,98.21
2346,罐,350,0.0023,98.2077
2347,裙,349,0.0022,98.2122
2348,龟,349,0.0022,98.2144
2349,奠,349,0.0022,98.2166
2350,颌,348,0.0022,98.2188
2351,驴,348,0.0022,98.221
2352,撕,347,0.0022,98.2232
2353,蒂,346,0.0022,98.232
2354,姚,346,0.0022,98.2298
2355,滥,346,0.0022,98.2254
2356,恭,346,0.0022,98.2276
2357,耻,345,0.0022,98.2386
2358,蕴,345,0.0022,98.2342
2359,骄,345,0.0022,98.2364
2360,煌,344,0.0022,98.2408
2361,冤,343,0.0022,98.243
2362,瞎,343,0.0022,98.2452
2363,娇,343,0.0022,98.2474
2364,杭,343,0.0022,98.2496
2365,倦,342,0.0022,98.254
2366,愧,342,0.0022,98.2518
2367,淮,341,0.0022,98.2562
2368,柯,340,0.0022,98.2584
2369,聊,339,0.0022,98.2606
2370,侨,338,0.0022,98.2628
2371,萝,337,0.0022,98.265
2372,惟,337,0.0022,98.2672
2373,谅,337,0.0022,98.2694
2374,瘤,336,0.0022,98.2716
2375,蚂,336,0.0022,98.2738
2376,崔,336,0.0022,98.276
2377,廊,335,0.0022,98.2826
2378,溉,335,0.0022,98.2782
2379,铸,335,0.0022,98.2804
2380,髓,334,0.0021,98.2847
2381,碌,333,0.0021,98.2868
2382,拢,333,0.0021,98.2889
2383,沫,333,0.0021,98.291
2384,帅,331,0.0021,98.2931
2385,坟,331,0.0021,98.2952
2386,娱,331,0.0021,98.2973
2387,吏,331,0.0021,98.2994
2388,峻,330,0.0021,98.3036
2389,昼,330,0.0021,98.3057
2390,歉,330,0.0021,98.3015
2391,刹,329,0.0021,98.3078
2392,坝,329,0.0021,98.3099
2393,栖,328,0.0021,98.312
2394,捐,328,0.0021,98.3141
2395,渊,328,0.0021,98.3162
2396,傍,327,0.0021,98.3183
2397,叭,326,0.0021,98.3204
2398,鸽,326,0.0021,98.3225
2399,淘,324,0.0021,98.3246
2400,轿,324,0.0021,98.3267
2401,呜,324,0.0021,98.3288
2402,宰,323,0.0021,98.3309
2403,谦,323,0.0021,98.3351
2404,玄,323,0.0021,98.3372
2405,丙,323,0.0021,98.333
2406,愣,322,0.0021,98.3393
2407,朽,322,0.0021,98.3414
2408,跪,321,0.0021,98.3435
2409,券,320,0.0021,98.3456
2410,寓,320,0.0021,98.3477
2411,捏,319,0.0021,98.3519
2412,搅,319,0.0021,98.354
2413,笨,319,0.0021,98.3498
2414,槽,319,0.0021,98.3561
2415,咋,318,0.002,98.3661
2416,厦,318,0.002,98.3621
2417,爪,318,0.002,98.3581
2418,奎,318,0.002,98.3601
2419,榜,318,0.002,98.3641
2420,屠,317,0.002,98.3681
2421,耸,317,0.002,98.3701
2422,驼,317,0.002,98.3721
2423,甩,316,0.002,98.3761
2424,逮,316,0.002,98.3861
2425,殷,316,0.002,98.3781
2426,赚,316,0.002,98.3741
2427,歼,316,0.002,98.3801
2428,孢,316,0.002,98.3821
2429,僵,316,0.002,98.3841
2430,矣,315,0.002,98.3901
2431,锤,315,0.002,98.3881
2432,浴,314,0.002,98.3921
2433,呐,314,0.002,98.3941
2434,兹,314,0.002,98.3961
2435,坎,314,0.002,98.3981
2436,珊,313,0.002,98.4001
2437,苯,313,0.002,98.4021
2438,垦,312,0.002,98.4041
2439,兜,311,0.002,98.4101
2440,禅,311,0.002,98.4061
2441,芝,311,0.002,98.4081
2442,吁,311,0.002,98.4121
2443,酶,310,0.002,98.4141
2444,舆,310,0.002,98.4161
2445,惶,310,0.002,98.4181
2446,咐,310,0.002,98.4201
2447,瓷,309,0.002,98.4221
2448,陌,309,0.002,98.4241
2449,颖,309,0.002,98.4261
2450,帘,308,0.002,98.4301
2451,摧,308,0.002,98.4321
2452,赢,308,0.002,98.4281
2453,裹,308,0.002,98.4341
2454,瞅,307,0.002,98.4401
2455,卸,307,0.002,98.4361
2456,兆,307,0.002,98.4381
2457,咧,306,0.002,98.4421
2458,噢,306,0.002,98.4441
2459,仆,305,0.002,98.4461
2460,膊,304,0.002,98.4481
2461,醇,304,0.002,98.4501
2462,饶,304,0.002,98.4521
2463,嗯,303,0.0019,98.4578
2464,篷,303,0.0019,98.454
2465,膝,303,0.0019,98.4559
2466,肪,303,0.0019,98.4597
2467,寞,302,0.0019,98.4616
2468,挫,302,0.0019,98.4635
2469,俯,301,0.0019,98.4654
2470,桔,301,0.0019,98.4673
2471,蚊,301,0.0019,98.4692
2472,熙,300,0.0019,98.473
2473,巷,300,0.0019,98.4749
2474,眨,300,0.0019,98.4711
2475,烛,299,0.0019,98.4806
2476,踩,299,0.0019,98.4787
2477,缸,299,0.0019,98.4768
2478,屯,298,0.0019,98.4844
2479,顷,298,0.0019,98.4863
2480,鼎,298,0.0019,98.4825
2481,砸,297,0.0019,98.4882
2482,乾,297,0.0019,98.4901
2483,咸,297,0.0019,98.492
2484,沃,296,0.0019,98.4939
2485,衔,296,0.0019,98.4958
2486,俘,295,0.0019,98.4996
2487,熬,295,0.0019,98.4977
2488,喇,294,0.0019,98.5053
2489,芒,294,0.0019,98.5034
2490,钓,294,0.0019,98.5015
2491,侍,294,0.0019,98.5091
2492,禽,294,0.0019,98.5072
2493,桩,294,0.0019,98.511
2494,灿,294,0.0019,98.5129
2495,吼,293,0.0019,98.5167
2496,泣,293,0.0019,98.5186
2497,讽,293,0.0019,98.5205
2498,凸,293,0.0019,98.5148
2499,谭,292,0.0019,98.5224
2500,敞,291,0.0019,98.5262
2501,聘,291,0.0019,98.5243
2502,哺,290,0.0019,98.5281
2503,癌,289,0.0019,98.53
2504,浦,289,0.0019,98.5319
2505,躁,288,0.0019,98.5376
2506,卿,288,0.0019,98.5357
2507,勘,288,0.0019,98.5338
2508,窜,287,0.0018,98.543
2509,溢,287,0.0018,98.5448
2510,舟,287,0.0018,98.5412
2511,楞,287,0.0018,98.5394
2512,虹,286,0.0018,98.5466
2513,蛛,286,0.0018,98.5484
2514,耍,285,0.0018,98.5538
2515,饵,285,0.0018,98.552
2516,烷,285,0.0018,98.5502
2517,骚,284,0.0018,98.5556
2518,枣,284,0.0018,98.5574
2519,浇,284,0.0018,98.5592
2520,崩,283,0.0018,98.561
2521,蹦,282,0.0018,98.5628
2522,褐,281,0.0018,98.5646
2523,嘎,280,0.0018,98.5664
2524,俭,279,0.0018,98.57
2525,仑,279,0.0018,98.5718
2526,窟,279,0.0018,98.5754
2527,陡,279,0.0018,98.5736
2528,荫,279,0.0018,98.5682
2529,嚼,278,0.0018,98.5826
2530,倩,278,0.0018,98.5772
2531,钦,278,0.0018,98.579
2532,弧,278,0.0018,98.5808
2533,涡,277,0.0018,98.5844
2534,潭,276,0.0018,98.597
2535,坊,276,0.0018,98.5952
2536,缔,276,0.0018,98.5934
2537,廓,276,0.0018,98.5916
2538,佐,276,0.0018,98.5898
2539,夷,276,0.0018,98.5862
2540,眯,276,0.0018,98.588
2541,枕,275,0.0018,98.6024
2542,捣,275,0.0018,98.5988
2543,蹄,275,0.0018,98.6006
2544,猩,274,0.0018,98.6042
2545,狐,274,0.0018,98.606
2546,柄,273,0.0018,98.6078
2547,穗,272,0.0017,98.6095
2548,伞,272,0.0017,98.6112
2549,拚,272,0.0017,98.6129
2550,浊,271,0.0017,98.6197
2551,壶,271,0.0017,98.618
2552,冈,271,0.0017,98.6146
2553,搁,271,0.0017,98.6163
2554,屑,270,0.0017,98.6248
2555,谬,270,0.0017,98.6214
2556,拱,270,0.0017,98.6231
2557,魁,269,0.0017,98.6265
2558,祀,269,0.0017,98.6282
2559,荧,269,0.0017,98.6299
2560,誓,269,0.0017,98.6316
2561,斋,269,0.0017,98.6333
2562,虾,268,0.0017,98.6401
2563,绸,268,0.0017,98.635
2564,魄,268,0.0017,98.6384
2565,娟,268,0.0017,98.6418
2566,姊,268,0.0017,98.6367
2567,秃,267,0.0017,98.6435
2568,泻,267,0.0017,98.6452
2569,鹏,266,0.0017,98.6469
2570,蟹,265,0.0017,98.6486
2571,斌,265,0.0017,98.6503
2572,灼,264,0.0017,98.652
2573,扛,263,0.0017,98.6537
2574,镁,263,0.0017,98.6554
2575,瓣,262,0.0017,98.6571
2576,艘,261,0.0017,98.6605
2577,捆,261,0.0017,98.6622
2578,膏,261,0.0017,98.6588
2579,苇,260,0.0017,98.6639
2580,厢,260,0.0017,98.6656
2581,妮,260,0.0017,98.6673
2582,蒲,260,0.0017,98.669
2583,啸,259,0.0017,98.6707
2584,劈,259,0.0017,98.6724
2585,滤,259,0.0017,98.6741
2586,葱,259,0.0017,98.6758
2587,栗,258,0.0017,98.6775
2588,袍,258,0.0017,98.6792
2589,耽,258,0.0017,98.6809
2590,痴,257,0.0017,98.6826
2591,颊,257,0.0017,98.6843
2592,猿,256,0.0016,98.6859
2593,沪,256,0.0016,98.6875
2594,怯,255,0.0016,98.6907
2595,垒,255,0.0016,98.6923
2596,芭,255,0.0016,98.6939
2597,蔑,255,0.0016,98.6955
2598,絮,255,0.0016,98.6971
2599,咯,255,0.0016,98.6891
2600,笛,254,0.0016,98.6987
2601,嘲,253,0.0016,98.7003
2602,爵,253,0.0016,98.7019
2603,瞒,253,0.0016,98.7035
2604,冀,253,0.0016,98.7051
2605,赐,252,0.0016,98.7067
2606,酿,252,0.0016,98.7083
2607,烫,251,0.0016,98.7115
2608,惕,251,0.0016,98.7131
2609,逗,251,0.0016,98.7147
2610,挪,251,0.0016,98.7099
2611,吱,250,0.0016,98.7163
2612,淫,249,0.0016,98.7195
2613,糕,249,0.0016,98.7179
2614,剿,248,0.0016,98.7211
2615,拣,248,0.0016,98.7227
2616,琼,248,0.0016,98.7307
2617,塌,248,0.0016,98.7243
2618,渣,248,0.0016,98.7259
2619,澄,248,0.0016,98.7275
2620,赠,248,0.0016,98.7291
2621,媚,247,0.0016,98.7339
2622,荐,247,0.0016,98.7355
2623,暑,247,0.0016,98.7371
2624,鹤,247,0.0016,98.7323
2625,绅,246,0.0016,98.7387
2626,讶,246,0.0016,98.7403
2627,凿,246,0.0016,98.7419
